Year,Units,general.territorio,Serie,general.series,DIM_DES.SEX,DIM_DES.DISABILITY_STATUS,DIM_DES.AGE,Value
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,10.32
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,11.34
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,9.34
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,19.57
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,20.79
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,21.04
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,22.35
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,24.58
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,22.41
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,25.60
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,22.53
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,23.60
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,21.37
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,20.77
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,17.34
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,18.12
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,13.43
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,15.66
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,12.40
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,13.72
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,12.03
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,12.45
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,10.29
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,13.87
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,14.97
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,13.22
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,13.19
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,11.39
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,9.56
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,10.66
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,9.92
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,10.15
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080502_02,SEX.M,DISABILITY_STATUS._T,AGE._T,8.09
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,20.22
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,19.30
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,21.81
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,21.28
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,25.03
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,24.06
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,26.67
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,21.93
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,25.43
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,18.38
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,23.55
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,17.26
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,21.38
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,14.43
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,19.03
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,12.48
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,17.02
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,10.92
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,15.99
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,13.41
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,17.43
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,17.49
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,16.83
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,15.60
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,14.89
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,11.83
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,13.87
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,10.77
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,12.68
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_080502_03,SEX.F,DISABILITY_STATUS._T,AGE._T,10.75
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,24.60
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,20.05
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,22.20
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,17.45
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,19.70
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,13.99
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,17.30
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,12.55
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,15.40
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,11.64
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,14.20
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,11.86
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,15.60
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,16.23
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,15.00
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,14.40
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,13.10
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,10.64
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,12.30
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_080502_05,SEX._T,DISABILITY_STATUS._T,AGE.Y16T64,10.42
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,32.70
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,26.87
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,31.00
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,25.30
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,28.60
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,22.83
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,26.20
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,14.02
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,25.20
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,26.70
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,23.90
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,25.07
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,22.20
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,20.27
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,22.40
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,32.62
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,21.60
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,23.41
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_080502_01,SEX._T,DISABILITY_STATUS.PD,AGE.Y16T64,19.70
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,24.30
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,19.91
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,21.90
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,17.30
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,19.50
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,13.78
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,17.10
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,12.52
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,15.10
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,11.33
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,13.90
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,11.56
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,15.40
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,16.13
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,14.80
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,13.87
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,12.90
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,10.38
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,12.00
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_080502_04,SEX._T,DISABILITY_STATUS.PWD,AGE.Y16T64,10.46
