Year,Units,general.territorio,Serie,DIM_DES.OCUPACION_SANITARIA,Value
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.29
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.30
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.54
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.33
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.77
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.42
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.9
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.47
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,16.21
2020,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.71
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,16.47
2021,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.67
