Year,Units,general.territorio,Serie,DIM_DES.TIPO_ENFERMEDAD,Value
2019,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,183.79
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,52.55
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,132.55
2019,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,198.06
2019,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,147.30
2020,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,253.15
2020,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,185.33
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,111.99
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,131.95
2020,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,197.91
2020,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,160.53
2021,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,251.75
2021,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,197.23
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,82.98
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,160.41
2021,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,204.90
2021,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,198.50
2022,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,253.95
2022,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,200.67
2022,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,138.97
2022,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,157.54
2022,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,210.42
2022,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,184.55
2023,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,239.83
2023,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,181.27
2023,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,87.44
2023,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,140.33
2023,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,188.19
2023,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,191.92
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,221.87
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,192.07
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,111.79
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,154.78
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,196.90
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,208.16
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,225.59
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,183.94
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,134.44
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,139.92
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,194.68
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,153.21
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,228.64
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,193.24
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,101.85
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,157.15
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,200.85
2012,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,185.89
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,230.00
2013,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,182.70
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,119.81
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,149.50
2013,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,189.69
2013,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,175.47
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,228.87
2014,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,183.32
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,114.67
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,136.18
2014,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,193.62
2014,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,167.97
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,231.10
2015,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,187.48
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,79.40
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,148.28
2015,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,196.11
2015,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,181.63
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,234.12
2016,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,188.84
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,109.09
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,130.42
2016,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,198.35
2016,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,201.88
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,234.51
2017,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,192.75
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,137.80
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,156.59
2017,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,200.91
2017,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,180.17
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,232.31
2018,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,188.14
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,89.53
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,144.56
2018,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,197.13
2018,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,185.64
2019,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,231.20
2019,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,185.55
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,142.64
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,159.45
2019,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,191.95
2019,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,172.03
2020,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,229.24
2020,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,182.62
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,89.59
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,164.14
2020,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,187.54
2020,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,177.80
2021,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,231.01
2021,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,186.00
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,226.30
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,156.65
2021,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,189.91
2021,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,190.44
2022,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,231.58
2022,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,195.08
2022,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,86.86
2022,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,152.46
2022,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,201.40
2022,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,216.16
2023,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,230.44
2023,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,197.98
2023,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,122.42
2023,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,166.53
2023,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,202.00
2023,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,218.91
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.04
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,16.18
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.33
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,9.24
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,16.85
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,19.31
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.39
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,18.17
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,9.60
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,11.34
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,19.56
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,15.96
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.36
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,19.29
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,9.26
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,11.07
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.30
2012,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,13.81
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.16
2013,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.40
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,51.35
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,18.60
2013,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.53
2013,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,18.08
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.73
2014,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.88
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,8.19
