Year,Units,general.territorio,Serie,general.series,DIM_DES.INCOME_WEALTH_QUANTILE,DIM_DES.COMPOSITE_BREAKDOWN,Value
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,2.33
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-0.18
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-1.64
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,0.50
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-0.61
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,1.72
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-0.05
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,1.14
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,3.53
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,2.53
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,2.50
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-1.28
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-3.70
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-3.07
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-0.31
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-0.53
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,0.33
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,0.06
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,1.72
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,1.26
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.52
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.32
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,3.15
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.42
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.17
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-0.24
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-1.23
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,0.81
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,-0.77
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,1.74
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,1.55
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,1.77
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.86
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.32
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_100101_02,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._T,2.47
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-2.59
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-2.44
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-0.86
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,2.79
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,0.56
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-0.42
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,2.27
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,6.09
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.73
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,7.68
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,4.69
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,8.22
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.40
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,1.28
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,4.55
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,5.53
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,5.12
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.08
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,5.75
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_100101_01,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._L_MI_NUTS2,4.95
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-1.58
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-1.17
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-0.28
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,1.90
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,0.51
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,2.85
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,1.62
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,4.97
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,2.37
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.09
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.36
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.17
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,2.76
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-1.67
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,3.27
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,-0.34
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,4.29
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,1.32
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,4.86
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_100101_04,INCOME_WEALTH_QUANTILE._T,COMPOSITE_BREAKDOWN._L_MI_NUTS2,5.11
