Year,Units,general.territorio,Serie,general.series,DIM_DES.DISABILITY_STATUS,DIM_DES.SEX,Value
2017,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.79
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,14.36
2018,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,14.40
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,14.92
2019,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,14.50
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,15.22
2020,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,14.90
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,15.61
2021,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,14.78
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.10
2010,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.40
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.20
2011,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.90
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.80
2012,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.50
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.60
2013,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.90
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.30
2014,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,10.80
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.00
2015,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.50
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.70
2016,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,11.80
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.90
2017,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.00
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.10
2018,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.20
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.70
2019,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.90
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.90
2020,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,12.90
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,14.30
2021,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,13.20
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,14.60
2022,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_D,SERIES._L_ES_080501_01,DISABILITY_STATUS.PD,SEX._T,14.20
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.60
2010,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.20
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.60
2011,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,13.80
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.60
2012,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.00
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.70
2013,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,13.90
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.90
2014,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.30
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,15.10
2015,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.20
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.90
2016,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.20
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,15.20
2017,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.20
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,15.60
2018,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.90
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,15.90
2019,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,14.90
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,16.20
2020,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,15.40
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,16.60
2021,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,15.30
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,17.30
2022,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_080501_04,DISABILITY_STATUS.PWD,SEX._T,17.90
