Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.UMBRAL_POBREZA,Value
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.54
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,15.37
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.66
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,12.05
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.97
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,14.07
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.67
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,17.62
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.45
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,16.95
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.20
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,15.35
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.48
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,24.96
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.37
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,23.48
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.69
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.54
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.30
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.77
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.45
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.42
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.23
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,25.86
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.18
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,18.81
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.62
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.78
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.23
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,21.60
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.49
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,18.12
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.71
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.66
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.61
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,17.52
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.39
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,16.98
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,18.29
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,18.80
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.63
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,22.14
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.82
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.90
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.98
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,20.61
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.69
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.50
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.88
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.38
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.51
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,21.99
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.81
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,15.97
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.69
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,23.77
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.14
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,12.80
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.59
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,14.80
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.65
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,16.06
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.12
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,20.17
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.75
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,15.25
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.37
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,15.42
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.78
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,21.64
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.90
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.90
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.72
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,20.61
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.11
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.31
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.78
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,19.02
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.43
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,24.58
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.97
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.75
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.18
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,23.96
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.60
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.39
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.16
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.18
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.76
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.68
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.23
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,20.17
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.88
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,15.40
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.02
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.18
