Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,DIM_DES.SEX,Value
2023,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,126.09
2023,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,120.21
2023,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,145.66
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,173.77
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,164.97
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,167.19
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,181.34
2016,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,220.13
2016,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,169.38
2016,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,226.57
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,171.10
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,181.17
2017,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,222.98
2017,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,169.30
2017,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,220.43
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,174.05
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,186.52
2018,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,36.34
2018,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,212.53
2018,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,204.50
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,179.48
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,182.02
2019,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,212.28
2019,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,173.05
2019,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,214.21
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,136.08
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,132.53
2020,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,170.09
2020,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,122.78
2020,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,159.18
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,156.70
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,157.74
2021,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,203.57
2021,UNIDAD_MEDIDA.PER_100000,ES531_071,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,64.97
2021,UNIDAD_MEDIDA.PER_100000,ES531_072,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,214.33
2021,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,144.55
2021,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,201.58
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,159.64
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,168.46
2022,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,229.56
2022,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,161.99
2022,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,121.07
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,198.13
2023,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,202.68
2023,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,191.29
2023,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_B,SERIES._L_ES_030501_1A,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.M,254.86
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,32.23
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.00
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,31.55
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,44.65
2016,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,63.08
2016,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.06
2016,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,38.91
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,32.47
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.82
2017,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,58.32
2017,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,41.22
2017,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,32.42
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,33.78
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,44.39
2018,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,7.66
2018,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,52.10
2018,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,31.98
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,35.58
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,48.18
2019,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,50.27
2019,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,48.46
2019,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.03
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,28.68
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,39.48
2020,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,50.92
2020,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,37.27
2020,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,41.51
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,32.80
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.73
2021,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,56.43
2021,UNIDAD_MEDIDA.PER_100000,ES531_071,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,53.07
2021,UNIDAD_MEDIDA.PER_100000,ES531_072,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,56.68
2021,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,40.70
2021,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,39.00
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,34.73
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,40.38
2022,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.18
2022,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,42.60
2022,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,16.19
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,48.67
2023,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,46.27
2023,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,50.25
2023,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_C,SERIES._L_ES_030501_1B,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX.F,37.70
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,59.22
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,71.30
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,57.41
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,75.60
2016,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,99.68
2016,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,70.80
2016,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,80.30
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,SERIES._L_ES_030501_02,COMPOSITE_BREAKDOWN.SUD_ALCOHOL,SEX._T,55.37
